id,district,microdistrict,city,area,ceiling_height,year,add_time,update_time,rooms,text,housing_estate,floor,total_floors,building_type1,building_type2,lat,lng,currency,price,street,build_number,total_area,living_area,kitchen_area,with_hosts,not_assignment,collateral_real_estate,from_builder,by_assignment,no_commission,contract_of_lifelong_maintenance,exclusive,surrendered_first_time,without_finishing,without_a_balcony,common_kitchen,is_tech_floor,do_not_disturb_mediators
338144160,1,7,4,,,,1490458204,1491887883,,,21,,15,,,50.4197658651,30.5303722394,1,2706,358,5,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
338116055,7,55,4,,2.7,2008,1490366440,1490649929,2,,26,20,22,4,,50.399,30.5197,2,120000,162,13а,60,25,14,,,,,,,,,,,,,,
338431757,5,45,4,,2.8,2004,1491409577,1491910028,3,,,16,18,1,12,50.400968,30.618061,2,119500,744,24,108,88,15,,,,,,,,,,,,,,
338036234,1,31,4,,3,,1490090087,1491729721,5,,21,9,12,1,,50.419828,30.530099,1,2520,276,6а,226,,,True,,,False,False,False,False,False,False,False,False,False,False,False
338498284,7,,4,,2.7,2008,1491474830,1491903909,3,,63,2,14,0,,50.385642,30.463436,2,105000,91,52а,103,58,19,,,,,,,,,,,,,,
335410543,8,10,4,,2.75,2014,1458563139,1491896444,2,,47,20,22,1,,50.422304,30.379597,2,82000,620,14,72,36,14,,,,,,,,,,,,,,
332128306,1,21,4,,3.3,,1473934663,1491765693,3,,,7,11,,9,50.445529,30.543881,1,3500,776,9б,180,,,True,,False,False,False,False,False,False,False,False,False,False,False,False
338399456,1,7,4,,3,2010,1491318605,1491883804,,,,,20,1,9,50.4324,30.5337,1,2900,428,7б,,,,True,,False,False,False,False,False,False,False,False,False,False,False,False
336127907,1,,4,,,,1485267704,1491758589,2,,85,,,,,50.4114007222,30.5455394831,1,2550,517,,83.5,,,True,,False,False,False,False,False,False,False,False,False,False,False,False
337234562,8,50,4,,2.65,1997,1474968472,1491909928,3,,,6,10,1,12,50.427663,30.395326,2,69900,152,2а,80,44,8,,,,,,,,,,,,,,
